,Features,Score
0,Age,0.7723060933666184
1,Grade,2.7204433497536957
2,Num.Primaries,15.357142857142858
3,Radiation,112.50000000000001
4,Num.Mutated.Genes,1.0542296918767518
5,Num.Mutations,0.09071184787908254
6,IB,0.7142857142857143
7,IIA,2.857142857142857
8,IIB,3.928571428571429
9,IIIA,22.45847176079734
10,IIIB,8.571428571428573
11,IV,16.071428571428573
12,IVB,70.00000000000001
13,Large-cell carcinoma,68.1910052910053
14,Squamous cell carcinoma,27.5
15,Left Hilar,86.80000000000001
16,Left Lower Lobe,6.071428571428573
17,Left Upper Lobe,7.5
18,Right Hilar,16.63030303030303
19,Right Lower Lobe,8.92857142857143
20,Right Middle Lobe,1.0714285714285716
