,Features,Score
0,Age,1.8781182467567086
1,Grade,6.211863323728963
2,Num.Primaries,6.050283123341485
3,Radiation,37.89846546585092
4,Num.Mutated.Genes,1.4431936296531216
5,Num.Mutations,0.5696285597760268
6,IB,1.5849056603773586
7,IIA,1.1969901168014376
8,IIB,3.0214816629910968
9,IIIA,7.6194237238554905
10,IIIB,2.202175052410902
11,IV,0.7549665568533495
12,IVB,31.547619047619047
13,Large-cell carcinoma,29.69778043991881
14,Squamous cell carcinoma,13.550460321349812
15,Left Hilar,39.11904761904762
16,Left Lower Lobe,13.471698113207548
17,Left Upper Lobe,3.5435973131390925
18,Right Hilar,13.315377494622776
19,Right Lower Lobe,4.1401617250673866
20,Right Middle Lobe,0.14390536088649297
